Group,Path,Size,Last Modified,Is Archive,Is Documentation,Content Hash
Content Group 0,C:\EGOS\scripts\maintenance\..\..\docs\research\EGOS_Strategic_Analysis_Integration_Summary_Apr2025.md,3673,2025-05-21T15:08:52.439839,False,True,3ba9a0bc70507af449c5a9207b6ac999
Content Group 0,C:\EGOS\scripts\maintenance\..\..\docs\STRATEGIC_THINKING\research\EGOS_Strategic_Analysis_Integration_Summary_Apr2025.md,3673,2025-05-21T15:08:52.537603,False,True,3ba9a0bc70507af449c5a9207b6ac999
Content Group 1,C:\EGOS\scripts\maintenance\..\..\docs\research\Vibe_Coding_Market_Analysis.md,23068,2025-05-21T15:08:52.442026,False,True,6219cc5eb658b7481ffba8f780ead132
Content Group 1,C:\EGOS\scripts\maintenance\..\..\docs\STRATEGIC_THINKING\research\Vibe_Coding_Market_Analysis.md,23068,2025-05-21T15:08:52.562170,False,True,6219cc5eb658b7481ffba8f780ead132
Content Group 2,C:\EGOS\scripts\maintenance\..\..\docs\research\website_ux_analysis.md,13863,2025-05-21T15:08:52.443179,False,True,482015ca8724aa0494f975820221fdb7
Content Group 2,C:\EGOS\scripts\maintenance\..\..\docs\STRATEGIC_THINKING\research\website_ux_analysis.md,13863,2025-05-21T15:08:52.563949,False,True,482015ca8724aa0494f975820221fdb7
Similar Content Group 3,C:\EGOS\scripts\maintenance\..\..\docs\website\DESIGN_GUIDE.md,7069,2025-05-21T15:08:52.726947,False,True,1794e3810650437bc4784ee265d08da9
Similar Content Group 3,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\website\DESIGN_GUIDE.md,7068,2025-05-21T15:08:50.515002,False,True,d607890a7a2dfd49f7c83efc624f632c
Similar Content Group 4,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\KOIOS_Interaction_Standards.md,5461,2025-05-21T11:09:00.888514,False,True,63ab26e116a8ffea1e38348a00944b63
Similar Content Group 4,C:\EGOS\scripts\maintenance\..\..\docs\standards\KOIOS_Interaction_Standards.md,6161,2025-05-21T11:09:02.277330,False,True,40935ffdb724c1541c11b114c1026eae
Similar Content Group 4,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\standards\KOIOS_Interaction_Standards.md,5460,2025-05-21T11:09:01.391419,False,True,2edcbe5d31604c3d11d2690096f36487
Similar Content Group 5,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\ai_collaboration\MULTI_AGENT_WORKFLOW.md,3164,2025-05-21T00:40:22.644590,False,True,365e0784a1912e735dbf14da51f19832
Similar Content Group 5,C:\EGOS\scripts\maintenance\..\..\docs\ai_collaboration\MULTI_AGENT_WORKFLOW.md,3209,2025-05-21T00:18:51.055297,False,True,36977400b831c478143fbe3a88b1a053
Similar Content Group 6,C:\EGOS\scripts\maintenance\..\..\docs\website\WEBSITE_DESIGN.md,1935,2025-05-21T00:18:52.176887,False,True,51d75a240f0bed681bd911bb7266440d
Similar Content Group 6,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\website\WEBSITE_DESIGN.md,1869,2025-05-21T00:40:22.817493,False,True,65aede3fc58fc14d0cd8552c916dfe32
Similar Content Group 7,C:\EGOS\scripts\maintenance\..\..\docs\website\CURRENT_TASKS.md,2412,2025-05-21T15:08:52.724667,False,True,0fc325b01e26fcc44b3e58662c67795a
Similar Content Group 7,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\website\CURRENT_TASKS.md,2413,2025-05-21T15:08:50.513903,False,True,81844bd6bf264e2d0a234353392d01e1
Similar Content Group 8,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\website\USER_RESEARCH_PLAN.md,2218,2025-05-21T00:40:22.816939,False,True,53b5313d96ee8be213ab5104939cf67b
Similar Content Group 8,C:\EGOS\scripts\maintenance\..\..\docs\website\USER_RESEARCH_PLAN.md,2295,2025-05-21T00:18:52.175343,False,True,fc2809882724245eab5f107fa74abef3
Similar Content Group 9,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\research\AI_AGENT_CAPABILITIES_2025.md,4596,2025-05-21T00:40:22.792973,False,True,674d5176ee56a56ddfb441c71e01406e
Similar Content Group 9,C:\EGOS\scripts\maintenance\..\..\docs\STRATEGIC_THINKING\research\AI_AGENT_CAPABILITIES_2025.md,4493,2025-05-21T00:40:22.548662,False,True,f3e15c86f40c38b8b1620fc7c3df04e9
Similar Content Group 10,C:\EGOS\scripts\maintenance\..\..\docs\STRATEGIC_THINKING\technology_watch\web_scraping_strategies.md,5130,2025-05-21T00:40:22.628230,False,True,3b4b2dce207c946a086f8ab88b6bc5d6
Similar Content Group 10,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\tech_radar\web_scraping_strategies.md,5319,2025-05-21T00:40:22.804694,False,True,345c9875ab2e63f087595b68b0b1d671
Similar Content Group 11,C:\EGOS\scripts\maintenance\..\..\docs\STRATEGIC_THINKING\research\CONTENT_AGGREGATOR_DEEP_DIVE.md,7510,2025-05-21T15:08:52.519988,False,True,5a120ce4e60963cb7c03958cbaf77b8b
Similar Content Group 11,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\research\CONTENT_AGGREGATOR_DEEP_DIVE.md,7689,2025-05-21T15:08:50.502589,False,True,782b6321b47098e05ba0297eba8c0ca1
Similar Content Group 12,C:\EGOS\scripts\maintenance\..\..\docs\guides\MCP_CREATION_GUIDE.md,24845,2025-05-21T11:09:01.898019,False,True,02b5ba287e70134897212c48eb0c17e0
Similar Content Group 12,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\MCP_CREATION_GUIDE.md,23735,2025-05-21T00:40:22.637549,False,True,7c9feaf368811dd47fe0f845fb58f5aa
Similar Content Group 13,C:\EGOS\scripts\maintenance\..\..\docs\STRATEGIC_THINKING\products\scribe\PROJECT_SCRIBE_VISION.md,3027,2025-05-21T00:40:22.545257,False,True,9580d9191bb421430aef08e697565c5f
Similar Content Group 13,C:\EGOS\scripts\maintenance\..\..\docs\STRATEGIC_THINKING\products\chronicler\PROJECT_CHRONICLER_VISION.md,3147,2025-05-21T00:40:22.543247,False,True,a80d9922aec6778a6a3f58ae82f8e516
Similar Content Group 14,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\STRATEGY.md,11612,2025-05-21T00:40:22.642359,False,True,7a7eaaa03e9891eac59577ee57010d8b
Similar Content Group 14,C:\EGOS\scripts\maintenance\..\..\docs\project\STRATEGY.md,12661,2025-05-21T11:09:02.005509,False,True,45e751be9601b2a17b8d9a00db2e3c47
Similar Content Group 15,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\CRONOS_REFACTORING_EXAMPLE.md,11820,2025-05-21T00:40:22.630301,False,True,24db1508bcf498d5aece33254b796fde
Similar Content Group 15,C:\EGOS\scripts\maintenance\..\..\docs\guides\CRONOS_REFACTORING_EXAMPLE.md,12970,2025-05-21T11:09:01.890749,False,True,59e93ee790aaea561f9e86dc8803b821
Similar Content Group 16,C:\EGOS\scripts\maintenance\..\..\docs\governance\STRATEGY.md,10660,2025-05-21T11:09:01.805568,False,True,61e11688f997e2fd3d57cdd8e7dac01c
Similar Content Group 16,C:\EGOS\scripts\maintenance\..\..\docs\STRATEGIC_THINKING\STRATEGY.md,9558,2025-05-21T00:40:22.536953,False,True,f9aec8bfc0750ead685c5c4f2befe140
Similar Content Group 17,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\prompts\strategic_analysis_prompt_v2.0.md,7886,2025-05-21T00:40:22.792446,False,True,fa41edd17855ca167231a37ab905c61e
Similar Content Group 17,C:\EGOS\scripts\maintenance\..\..\docs\prompts\strategic_analysis_prompt_v2.0.md,9046,2025-05-21T11:09:02.202470,False,True,7dbe23d3edc8c457805172c51553966a
Similar Content Group 18,C:\EGOS\scripts\maintenance\..\..\docs\technical\MYCELIUM_INTEGRATION.md,8702,2025-05-21T11:09:02.623179,False,True,344dd6f8b7681d877d0b3007058f9d75
Similar Content Group 18,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\MYCELIUM_INTEGRATION.md,7582,2025-05-21T00:40:22.639120,False,True,5de78fe014a64a02129ac09c0f40053f
Similar Content Group 19,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\prompts\CURSOR_QUANTUM_PROMPT.md,6045,2025-05-21T00:40:22.783964,False,True,083544dd3f6314a0a067dcbf4d0f91e2
Similar Content Group 19,C:\EGOS\scripts\maintenance\..\..\docs\prompts\CURSOR_QUANTUM_PROMPT.md,7160,2025-05-21T11:09:02.178373,False,True,bc484b99fc5331ecb37aa2cc068d7993
Similar Content Group 20,C:\EGOS\scripts\maintenance\..\..\docs\standards\KOIOS_PDD_Standard.md,3997,2025-05-21T15:08:52.490261,False,True,6891e0fef646ad44454fff79d23f2c26
Similar Content Group 20,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\standards\KOIOS_PDD_Standard.md,3307,2025-05-21T15:08:50.504638,False,True,b5bc4aab70500b6a7c3ff6a48c907de5
